,ID,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
885794,A-3609094,2,2020-03-30 13:03:39,2020-03-30 13:48:39,29.78475,-95.68309,29.78475,-95.68309,0.0,At Park Ten Blvd/Exit 750 - Accident. Hard shoulder blocked.,0.0,US-90 E,R,Houston,Harris,TX,77094,US,US/Central,KSGR,2020-03-30 12:53:00,82.0,82.0,67.0,29.89,10.0,S,20.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
987968,A-3711295,4,2020-02-03 05:27:18,2020-02-03 05:56:50,29.76957,-95.26513,29.78153,-95.26356,0.832,Closed at I-10/Exit 26 - Road closed due to accident.,0.0,Market Street Rd,R,Houston,Harris,TX,77029,US,US/Central,KHOU,2020-02-03 05:33:00,62.0,62.0,84.0,29.88,10.0,S,12.0,0.0,Mostly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Night
967145,A-3690472,3,2020-01-17 11:34:41,2020-01-17 12:04:35,30.28456,-97.76527,30.27357,-97.77206,0.861,At Lake Austin Blvd/1st St/5th St - Accident.,0.0,Mopac Expy S,R,Austin,Travis,TX,78703,US,US/Central,KATT,2020-01-17 11:51:00,51.0,51.0,89.0,29.52,6.0,WNW,3.0,0.0,Light Rain,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
872517,A-3595814,2,2020-03-23 20:26:13,2020-03-23 21:16:11,30.25842,-97.75011,30.25842,-97.75011,0.0,At S 1st St - Accident.,494.0, S 1st St,R,Austin,Travis,TX,78704,US,US/Central,KATT,2020-03-23 20:51:00,76.0,76.0,74.0,29.2,10.0,SSE,8.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Day,Day
973678,A-3697005,4,2020-01-22 16:07:51,2020-01-22 16:36:34,32.68401,-97.45825,32.68385,-97.44744,0.629,Closed at Winscott Rd/Exit 429 - Road closed due to accident.,0.0,I-20 E,R,Fort Worth,Tarrant,TX,76126,US,US/Central,KNFW,2020-01-22 15:52:00,46.0,39.0,93.0,29.2,10.0,SSE,17.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
872382,A-3595679,4,2020-03-23 07:23:49,2020-03-23 07:38:49,32.694,-97.23979,32.68819,-97.24061,0.404,Closed between Wilbarger St/Exit 32 and Martin St/Exit 33 - Road closed due to accident. Two lanes blocked.,0.0,Loop 820 S,R,Fort Worth,Tarrant,TX,76119,US,US/Central,KFWS,2020-03-23 07:55:00,61.0,61.0,94.0,29.33,0.5,SE,5.0,0.0,Fog,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Day,Day,Day
849646,A-3572931,4,2020-03-10 09:28:33,2020-03-10 09:58:25,29.65639,-95.25378,29.68349,-95.27551,2.282,Closed between College Ave and Bellfort Ave/Howard Dr - Road closed due to accident.,0.0,I-45 N,R,Houston,Harris,TX,77017,US,US/Central,KHOU,2020-03-10 09:08:00,70.0,70.0,87.0,30.23,6.0,CALM,0.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
950725,A-3674048,3,2020-03-04 10:48:46,2020-03-04 11:18:21,33.04912,-97.00922,33.05653,-97.01157,0.53,At Valley Ridge Blvd/Exit 453 - Accident. Two lanes blocked.,0.0,US-77 N,R,Lewisville,Denton,TX,75067,US,US/Central,KDFW,2020-03-04 10:53:00,55.0,55.0,86.0,29.32,10.0,ENE,18.0,0.03,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
854234,A-3577523,3,2020-03-13 05:38:03,2020-03-13 06:07:05,32.8002,-97.21224,32.79427,-97.2124,0.41,At Trinity Blvd/Exit 25 - Accident.,0.0,Loop 820 S,R,Hurst,Tarrant,TX,76053,US,US/Central,KFWD,2020-03-13 05:35:00,59.0,59.0,100.0,29.18,3.0,NNE,14.0,0.42,Rain,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Night
882870,A-3606170,3,2020-03-28 21:32:25,2020-03-28 21:47:25,30.22193,-97.95597,30.22193,-97.95597,0.0,At CR-185/Trautwein Rd - Accident.,10900.0, Fitzhugh Rd,L,Austin,Travis,TX,78736-7601,US,US/Central,KATT,2020-03-28 21:51:00,62.0,62.0,48.0,29.27,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night
